show_id;type;title;country;date_added;Description
s74;Movie;18 Presents;Italy;May 8, 2020;Dramas, Independent Movies, International Movies A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
s75;Movie;1898: Our Last Men in the Philippines;Spain;June 2, 2017;Dramas, International Movies While Spain relinquishes its last colonies, a battle-fatigued outpost engages in a long, brutal and sometimes bizarre clash with Filipino insurgents.
s76;Movie;1BR;United States;August 23, 2020;Horror Movies, Independent Movies, Thrillers Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.
s77;Movie;1st Summoning;United States;July 26, 2019;Horror Movies, Independent Movies Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.
s78;Movie;2 Alone in Paris;France;June 1, 2020;Comedies, International Movies A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth.
s79;Movie;2 States;India;August 4, 2018;Comedies, Dramas, International Movies Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.
s80;Movie;20 Feet From Stardom;United States;September 22, 2018;Documentaries, Music & Musicals Winner of the 2014 Academy Award for Best Documentary Feature, this film takes a look at the world of backup vocalists and the legends they support.
s81;TV Show;20 Minutes;Turkey;August 15, 2017;Crime TV Shows, International TV Shows, TV Dramas When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.
s82;Movie;2015 Dream Concert;South Korea;April 28, 2017;International Movies, Music & Musicals The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium.
s83;Movie;2036 Origin Unknown;United Kingdom;December 20, 2018;Sci-Fi & Fantasy Working with an artificial intelligence to investigate the failure of a deadly Mars landing, a mission controller makes an astonishing discovery.
s84;Movie;20th Century Women;United States;June 28, 2019;Dramas, Independent Movies In 1979, single bohemian mom Dorothea, hoping to help her teen son find his place as a man, asks two young women to share their lives with him.
s85;Movie;21 & Over;United States;April 16, 2019;Comedies Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash â€“ the night before a crucial med school interview.
s86;TV Show;21 Again;United Kingdom;July 1, 2020;British TV Shows, Reality TV In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.
s87;TV Show;21 Sarfarosh: Saragarhi 1897;India;December 1, 2018;International TV Shows, TV Dramas In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.
s88;TV Show;21 Thunder;Canada;March 1, 2018;Crime TV Shows, International TV Shows, TV Dramas Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.
s89;Movie;2307: Winter's Dream;United States;March 1, 2018;Action & Adventure, Independent Movies, Sci-Fi & Fantasy In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.
s90;Movie;24 Hours to Live;South Africa, China, United States;April 7, 2018;Action & Adventure Revived by an experimental procedure, a hit man gets to live an extra 24 hours â€“ which he uses to avenge his dead wife and child and redeem himself.
s91;Movie;25 Kille;India;October 1, 2018;Action & Adventure, Dramas, International Movies Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over.
s92;Movie;26 Years;South Korea;October 1, 2017;Dramas, International Movies, Thrillers Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator.
s93;Movie;27, el club de los malditos;Argentina;May 1, 2018;Action & Adventure, Comedies, International Movies After a musician dies under suspicious circumstances, a hard-drinking detective and a music fan investigate why rock stars often die at the age of 27.
s94;Movie;27: Gone Too Soon;United Kingdom;May 1, 2018;Documentaries Explore the circumstances surrounding the tragic deaths at 27 of Jimi Hendrix, Jim Morrison, Brian Jones, Janis Joplin, Kurt Cobain and Amy Winehouse.
s95;Movie;28 Days;United States;September 30, 2020;Comedies, Dramas After her drunken antics result in property damage, an alcoholic journalist enters rehab â€“ and soon meets a fellow resident who changes her outlook.
s96;TV Show;28 Moons;South Korea;June 10, 2017;International TV Shows, Korean TV Shows, Romantic TV Shows When her fiancÃ© acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.
s97;Movie;3 Days to Kill;United States, France, Serbia;December 1, 2020;Action & Adventure A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him â€“ if he can survive its side effects.
s98;Movie;3 Deewarein;;December 31, 2019;Dramas, International Movies, Thrillers A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.
s99;Movie;3 Generations;United States;August 28, 2017;Dramas, LGBTQ Movies When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.
s100;Movie;3 Heroines;Indonesia;January 5, 2019;Dramas, International Movies, Sports Movies Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.
s101;Movie;3 Idiots;India;August 1, 2019;Comedies, Dramas, International Movies While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.
s102;Movie;3 Seconds Divorce;Canada;June 15, 2019;Documentaries, Faith & Spirituality A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights.
s103;Movie;3 TÃ¼rken & ein Baby;Germany;December 15, 2016;Comedies, International Movies The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
s104;Movie;30 Days of Luxury;Egypt;April 18, 2019;Comedies, International Movies With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub.
s105;Movie;30 Minutes or Less;United States;January 1, 2021;Action & Adventure, Comedies Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery â€” with a strict time limit.
s106;Movie;300 Miles to Heaven;Denmark, France, Poland;October 1, 2019;Dramas, International Movies Hoping to help their dissident parents, two brothers sneak out of Poland and land as refugees in Denmark, where they are prevented from returning home.
s107;Movie;365 Days;Poland;June 7, 2020;Dramas, International Movies, Romantic Movies A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him.
s108;Movie;37 Seconds;Japan;January 31, 2020;Dramas, International Movies Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.
s109;TV Show;3Below: Tales of Arcadia;United States;July 12, 2019;Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.
s110;Movie;40 Sticks;Kenya;November 20, 2020;International Movies, Thrillers When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.
s111;Movie;42 Grams;United States;February 1, 2018;Documentaries After launching a successful underground restaurant out of their apartment, an ambitious chef and his wife open an all-consuming upscale eatery.
s112;TV Show;44 Cats;Italy;October 1, 2020;Kids' TV Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.
s113;TV Show;45 rpm;Spain;August 16, 2019;International TV Shows, Romantic TV Shows, Spanish-Language TV Shows In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.
s114;Movie;48 Christmas Wishes;Canada;December 20, 2017;Children & Family Movies, Comedies When a small town's letters to Santa accidentally go up in smoke, two elves venture out of the North Pole to retrieve every missing wish.
s115;Movie;4L;Spain;July 12, 2019;Comedies, Dramas, Independent Movies Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.
s116;Movie;4th Man Out;United States;May 5, 2016;Comedies, LGBTQ Movies A young mechanic comes out to his extremely straight best friends. Once they get used to the idea, they're determined to help him find the right guy.
s117;Movie;4th Republic;Nigeria;June 13, 2020;Dramas, International Movies, Thrillers After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.
s118;Movie;5 Cowok Jagoan;;January 5, 2019;Action & Adventure, Comedies, International Movies Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.
s119;Movie;5 Flights Up;United States;March 17, 2019;Comedies, Dramas, Independent Movies A couple finds unexpected drama when, after 40 years of living in the same Brooklyn walk-up, they attempt to sell their apartment and buy a new one.
s120;Movie;5 Star Christmas;Italy;December 7, 2018;Comedies, International Movies When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.
s121;Movie;5 to 7;United States;March 16, 2017;Comedies, Dramas, Romantic Movies A young novelist's life is turned upside down when a chance encounter outside a New York hotel leads to an intense affair with a diplomat's wife.
s122;Movie;50 First Dates;United States;December 1, 2020;Comedies, Romantic Movies After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.
s123;Movie;50/50;United States;June 1, 2019;Comedies, Dramas, Independent Movies An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.
s124;Movie;5CM;Indonesia;September 28, 2018;Dramas, International Movies Five friends embark on a mission to climb the highest peak in Java, overcoming obstacles on the way and discovering the true meaning of friendship.
s125;Movie;5Gang;Romania;April 27, 2020;Comedies, International Movies To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter â€” until he gets kidnapped.
s126;Movie;6 Balloons;United States;April 6, 2018;Dramas, Independent Movies A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.
s127;Movie;6 Days;New Zealand, United Kingdom;February 8, 2018;Action & Adventure, Dramas, International Movies When armed gunmen seize the Iranian Embassy in 1980, a tense six-day standoff ensues while elite British soldiers prepare for a dangerous raid.
s128;Movie;6 Underground;United States;December 13, 2019;Action & Adventure, Dramas After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.
s129;Movie;6 Years;United States;September 8, 2015;Dramas, Independent Movies, Romantic Movies As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.
s130;Movie;6-5=2;India;November 1, 2017;Horror Movies, International Movies, Thrillers Six friends decide to undertake a grueling mountain trek, only to find that the difficulties in store for them are not merely physical.
s131;TV Show;60 Days In;United States;November 1, 2020;Reality TV Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.
s132;Movie;68 Kill;United States;September 1, 2019;Comedies, Independent Movies, Thrillers A hapless guy agrees to help his stunning â€“ but psychotic â€“ girlfriend rob her loathsome sugar daddy in a scheme as ill-conceived as it is violent.
s133;TV Show;7 (Seven);India;July 30, 2019;TV Shows Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.
s134;Movie;7 aÃ±os;Spain;October 27, 2016;Dramas, International Movies Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.
s135;TV Show;7 Days Out;United States;December 21, 2018;Docuseries Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.
s136;Movie;7 Din Mohabbat In;Pakistan;May 15, 2019;Comedies, International Movies, Music & Musicals Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife.
s137;Movie;7 Khoon Maaf;India;August 2, 2018;Dramas, International Movies, Thrillers Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men â€“ only to find them flawed.
s138;TV Show;72 Cutest Animals;Australia;June 1, 2016;Docuseries, International TV Shows, Science & Nature TV This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.
s139;TV Show;72 Dangerous Animals: Asia;Australia;August 10, 2018;Docuseries, International TV Shows, Science & Nature TV From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?
s140;TV Show;72 Dangerous Animals: Latin America;Australia, United States;December 22, 2017;Docuseries, International TV Shows, Science & Nature TV Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.
s141;TV Show;72 Dangerous Places to Live;Australia;June 1, 2016;Docuseries, International TV Shows, Science & Nature TV Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.
s142;TV Show;7SEEDS;;March 26, 2020;Anime Series, International TV Shows Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.
s143;TV Show;9 Months That Made You;United States;March 1, 2017;British TV Shows, Docuseries, Science & Nature TV Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life.
s144;Movie;90 ML;India;August 13, 2019;Comedies, International Movies, Music & Musicals Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.
s145;Movie;93 Days;Nigeria;March 5, 2020;Dramas, International Movies, Thrillers Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.
s146;Movie;A 2nd Chance;Australia;July 1, 2017;Children & Family Movies, Dramas, Sports Movies A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.
s147;Movie;A 3 Minute Hug;Mexico, United States;October 28, 2019;Documentaries, International Movies This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.
s148;Movie;A Babysitter's Guide to Monster Hunting;United States;October 15, 2020;Children & Family Movies Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.
s149;Movie;A Bad Moms Christmas;United States, China;February 14, 2020;Comedies Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.
s150;Movie;A Beautiful Life;China, Hong Kong;December 1, 2018;Dramas, International Movies, Romantic Movies After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.
s151;Movie;A Billion Colour Story;India;April 1, 2018;Dramas, Independent Movies, International Movies The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
s152;Movie;A Boy Called Po;United States;January 15, 2018;Dramas, Sci-Fi & Fantasy After his wife's death, an overworked engineer struggles to care for his son with autism, who regresses into a fantasy world to escape real-life bullying.
s153;TV Show;A Boy Name Flora A;Taiwan;September 1, 2017;International TV Shows, TV Comedies, TV Dramas A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who wonâ€™t pass on.
s154;Movie;A Bridge Too Far;United States, United Kingdom;July 1, 2020;Action & Adventure, Classic Movies, Dramas This wartime drama details a pivotal day in 1944 when an Allied task force tried to win World War II by seizing control of key bridges in Holland.
s155;Movie;A California Christmas;United States;December 14, 2020;Comedies, Romantic Movies With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her familyâ€™s land before Christmas.
s156;Movie;A Champion Heart;United States;April 14, 2020;Children & Family Movies, Dramas When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected.
s157;Movie;A Chaster Marriage;Turkey;October 2, 2020;Comedies, International Movies, Romantic Movies Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves.
s158;Movie;A Choo;Taiwan;October 14, 2020;Action & Adventure, International Movies, Romantic Movies Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain.
s159;Movie;A Christmas Catch;Canada;November 4, 2020;Dramas, Romantic Movies A cop working undercover to trail a possible diamond thief gets caught in a tricky spot when she finds new clues â€” and new feelings â€” for the suspect.
s160;Movie;A Christmas Prince;United States;November 17, 2017;Children & Family Movies, Dramas, Romantic Movies Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.
s161;Movie;A Christmas Prince: The Royal Baby;United States;December 5, 2019;Children & Family Movies, Dramas, Romantic Movies Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery.
s162;Movie;A Christmas Prince: The Royal Wedding;United States;November 30, 2018;Children & Family Movies, Dramas, Romantic Movies A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.
s163;Movie;A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir;France, South Korea, Japan;December 20, 2016;Movies Parisian teen Marinette transforms herself into superhero Ladybug to find her lonely secret crush Adrien when he runs away from home at Christmas.
s164;Movie;A Cinderella Story;United States, Canada;January 1, 2020;Children & Family Movies, Comedies Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
s165;Movie;A Cinderella Story: Christmas Wish;United States;December 1, 2019;Children & Family Movies, Comedies, Music & Musicals Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle.
s166;Movie;A Clockwork Orange;United Kingdom, United States;November 1, 2020;Classic Movies, Cult Movies, Dramas In this dark satire from director Stanley Kubrick, a young, vicious sociopath in a dystopian England undergoes an experimental rehabilitation therapy.
s167;Movie;A Dangerous Woman;United States;April 1, 2018;Dramas, Romantic Movies At the center of this engrossing melodrama is a Golden Globe-nominated turn by Debra Winger, who plays a sheltered, slow-witted woman living with her widowed Aunt Frances while working at a dry cleaners.
s168;Movie;A Fairly Odd Summer;United States;November 2, 2019;Children & Family Movies, Comedies In this live-action adventure, the gang heads to Hawaii, where Timmy learns the source of all fairy magic is in dangerous hands.
s169;Movie;A Fall from Grace;United States;January 17, 2020;Dramas, Thrillers When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry.
s170;Movie;A Family Affair;Netherlands, Denmark, South Africa;October 16, 2016;Documentaries, International Movies The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.
s171;Movie;A Family Man;Canada, United States;December 15, 2019;Dramas A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.
s172;Movie;A Family Reunion Christmas;United States;December 9, 2019;Movies M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.
s173;Movie;A Flying Jatt;India;November 15, 2017;Action & Adventure, International Movies, Sci-Fi & Fantasy A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.
s174;Movie;A Fortunate Man;Denmark;April 20, 2019;Dramas, International Movies A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin.
s175;Movie;A Futile and Stupid Gesture;United States;January 26, 2018;"Comedies In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s."
s176;Movie;A Ghost Story;United States;January 7, 2020;Dramas, Independent Movies Following a fatal car crash, a man's spirit remains stuck in the home he shared with his wife as doors into the past and future begin to open.
s177;Movie;A Glimpse Inside the Mind of Charles Swan III;United States;July 15, 2018;Comedies, Independent Movies When his girlfriend walks out and leaves him a wreck, a graphic designer â€“ who seemed to have it all â€“ sets out to discover where he went wrong.
s178;Movie;A Go! Go! Cory Carson Christmas;United States;November 27, 2020;Children & Family Movies When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone.
s179;Movie;A Go! Go! Cory Carson Halloween;;October 2, 2020;Children & Family Movies Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?
s180;Movie;A Go! Go! Cory Carson Summer Camp;;August 4, 2020;Children & Family Movies Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride.
s181;TV Show;A Good Wife;Taiwan;January 1, 2017;International TV Shows, Romantic TV Shows, TV Dramas As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner.
s182;Movie;A Grand Night In: The Story of Aardman;United Kingdom;November 1, 2016;Documentaries Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.
s183;Movie;A Gray State;United States;December 25, 2017;Documentaries This documentary dissects the case of a filmmaker whose death, along with the deaths of his wife and daughter, sparked alt-right conspiracy theories.
s184;Movie;A Haunted House;United States;February 21, 2020;Comedies, Horror Movies This spoof on scary movies follows a young couple settling into a new home, where an evil spirit â€” and horrifyingly hilarious antics â€” await.
s185;Movie;A Haunting at Silver Falls: The Return;United States;September 17, 2019;Horror Movies, Independent Movies When the ghost of her serial killer aunt seemingly resurfaces, Jordan must return to Silver Falls in hopes of finally putting an end to the torment.
s186;Movie;A Heavy Heart;Germany;February 15, 2017;Dramas, Independent Movies, International Movies Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder.
s187;Movie;A Holiday Engagement;United States;November 4, 2019;Children & Family Movies, Comedies, Romantic Movies Hilary's plan to hire a good-looking guy to act as her boyfriend backfires when she brings him home for the holidays to try and fool her family.
s188;Movie;A Home with A View;Hong Kong;April 30, 2019;Comedies, International Movies When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down.
s189;TV Show;A House of Blocks;Taiwan;September 1, 2017;International TV Shows, TV Dramas, TV Horror Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.
s190;Movie;A Kid from Coney Island;United States, China;July 6, 2020;Documentaries, Sports Movies From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey.
s191;Movie;A Kind of Murder;United States;May 1, 2017;Thrillers Obsessed with an unsolved murder case, a crime novelist stuck in an unhappy marriage fantasizes about killing his wife, who soon turns up dead.
s192;TV Show;A Korean Odyssey;South Korea;March 5, 2019;International TV Shows, Korean TV Shows, Romantic TV Shows A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.
s193;Movie;A Land Imagined;France, Netherlands, Singapore;April 13, 2019;Dramas, International Movies A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.
s194;Movie;A Leaf of Faith;United States;August 27, 2018;Documentaries This documentary takes a deep dive into the benefits, dangers and lingering questions around Kratom leaf as an alternative to opioid painkillers.
s195;Movie;A Life of Speed: The Juan Manuel Fangio Story;Argentina;March 20, 2020;Documentaries, International Movies, Sports Movies Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s â€” before protective gear or safety features were used.
s196;TV Show;A Lion in the House;United States;November 10, 2020;TV Shows Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.
